Datetime, Search terms, Website, Result number, Total results requested, ID number, Title, Abstract, Downloaded?, FileNamePath
011620-195650,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,154,1000,31823688,Intravenous antiplatelet therapies (glycoprotein IIb/IIIa receptor inhibitors and cangrelor) in percutaneous coronary intervention: from pharmacology to indications for clinical use.,"Oral antiplatelet drugs are crucially important for patients with acute coronary 
syndrome or stable coronary artery disease undergoing percutaneous coronary
intervention (PCI). In recent decades, several clinical trials have focused on
reducing periprocedural ischemic events in patients undergoing PCI by means of
more rapid platelet inhibition with the use of intravenous antiplatelet drugs.
Glycoprotein IIb/IIIa receptor inhibitors (GPIs) block the final common pathway
of platelet aggregation and enable potent inhibition in the peri-PCI period. In
recent years, however, the use of GPIs has decreased due to bleeding concerns and
the availability of more potent oral P2Y12 inhibitors. Cangrelor is an
intravenous P2Y12 receptor antagonist. In a large-scale regulatory trial,
cangrelor administration during PCI allowed for rapid, potent and rapidly
reversible inhibition of platelet aggregation, with an anti-ischemic benefit and 
no increase in major bleeding. This article aims to provide an overview of
general pharmacology, supporting evidence and current status of intravenous
antiplatelet therapies (GPIs and cangrelor), with a focus on contemporary
indications for their clinical use.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31823688.pdf
011620-195651,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,155,1000,31823520,Regulatory B cells require antigen recognition for effective allograft tolerance induction.,"Through multiple mechanisms, regulatory B cells (Breg) have been shown to play an
important role in the development of allograft tolerance. However, a careful
understanding of the role of antigen-specificity in Breg-mediated allograft
tolerance has remained elusive. In experimental models of islet and cardiac
transplantation, it has been established that Bregs can be induced in vivo by
anti-CD45RB ± anti-TIM1antibody treatment, resulting in prolonged, Breg-dependent
allograft tolerance. The importance of Breg antigen recognition has been
suggested but not confirmed through adoptive transfer experiments, using tolerant
WT C57BL/6 animals challenged with either BALB/c or C3H grafts. However, the
importance of receptor-specificity has not been formally tested. Here, we utilize
the novel ovalbumin-specific B cell receptor transnuclear (OBI) mice in multiple 
primary tolerance and adoptive transfer experiments to establish that
Breg-dependent allograft tolerance relies on antigen recognition by B cells.
Additionally, we identify that this Breg-dependent tolerance relies on the
function of transforming growth factor-β. Together, these experiments mark
important progress toward understanding how best to improve Breg-mediated
allograft tolerance.

© 2019 The American Society of Transplantation and the American Society of
Transplant Surgeons.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31823520.pdf
011620-195653,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,156,1000,31823091,Estimation of Arterial Blood Pressure Based on Artificial Intelligence Using Single Earlobe Photoplethysmography during Cardiopulmonary Resuscitation.,"This study investigates the feasibility of estimation of blood pressure (BP)
using a single earlobe photoplethysmography (Ear PPG) during cardiopulmonary
resuscitation (CPR). We have designed a system that carries out Ear PPG for
estimation of BP. In particular, the BP signals are estimated according to a long
short-term memory (LSTM) model using an Ear PPG. To investigate the proposed
method, two statistical analyses were conducted for comparison between BP
measured by the micromanometer-based gold standard method (BPMEAS) and the Ear
PPG-based proposed method (BPEST) for swine cardiac model. First, Pearson's
correlation analysis showed high positive correlations (r = 0.92, p < 0.01)
between BPMEAS and BPEST. Second, the paired-samples t-test on the BP parameters 
(systolic and diastolic blood pressure) of the two methods indicated no
significant differences (p > 0.05). Therefore, the proposed method has the
potential for estimation of BP for CPR biofeedback based on LSTM using a single
Ear PPG.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31823091.pdf
011620-195654,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,157,1000,31822926,[Primary prevention of coronary heart disease : Evidence-based drug treatment].,"Coronary artery disease (CAD) is the most frequent cause of morbidity and
mortality worldwide. Lifestyle modifications and drug treatment of cardiovascular
risk factors are able to effectively prevent CAD. The basis of prevention is the 
assessment of the individual cardiovascular risk, e.g. by using a validated risk 
score. Documented evidence for prevention of CAD is available for the control of 
hypertension using angiotensin-converting enzyme (ACE) inhibitors, angiotensin
receptor blockers (ARB) and calcium antagonists, for the treatment of
hypercholesterolemia using statins, ezetimibe and proprotein convertase
subtilisin-kexin type 9 (PCSK-9) inhibitors and for the treatment of type 2
diabetes mellitus with metformin, sodium-glucose transporter 2 (SGLT-2)
inhibitors and glucagon-like peptide 1 (GLP-1) agonists. There is no positive
benefit-risk ratio for people with a low risk in the use of acetylsalicylic acid 
in primary prevention, in contrast to the positive recommendations for secondary 
prevention. There is no evidence for the efficacy of primary prevention with beta
blockers, dipeptidyl peptidase 4 (DPP-4) inhibitors, glitazones, sulfonylureas or
insulin. Similarly, there is no evidence for drug treatment of obesity, any
supplementation with vitamins or hormone preparations or omega‑3 fatty acids.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31822926.pdf
011620-195656,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,158,1000,31821482,New AI Prediction Model Using Serial PT-INR Measurements in AF Patients on VKAs: GARFIELD-AF.,"BACKGROUND: Most clinical risk stratification models are based on measurement at 
a single time-point rather than serial measurements. Artificial intelligence (AI)
is able to predict one-dimensional outcomes from multi-dimensional datasets.
Using data from GARFIELD-AF registry, a new AI model was developed for predicting
clinical outcomes in atrial fibrillation (AF) patients up to 1 year based on
sequential measures of PT-INR within 30 days of enrolment.
METHODS AND RESULTS: Patients with newly diagnosed AF who were treated with
vitamin K antagonists (VKA) and had at least 3 measurements of PT-INR taken over 
the first 30 days after prescription were analyzed. The AI model was constructed 
with multilayer neural network including long short-term memory (LSTM) and
one-dimensional convolution layers. The neural network was trained using PT-INR
measurements within days 0-30 after starting treatment and clinical outcomes over
days 31-365 in a derivation cohort (cohorts 1-3; n = 3185). Accuracy of the AI
model at predicting major bleed, stroke/SE, and death was assessed in a
validation cohort (cohorts 4-5; n = 1523). The model's c-statistic for predicting
major bleed, stroke/SE, and all-cause death was 0.75, 0.70, and 0.61,
respectively.
CONCLUSIONS: Using serial PT-INR values collected within 1 month after starting
VKA, the new AI model performed better than time in therapeutic range (TTR) at
predicting clinical outcomes occurring up to 12 months thereafter. Serial PT-INR 
values contain important information that can be analyzed by computer to help
predict adverse clinical outcomes.

© The Author(s) 2019. Published by Oxford University Press on behalf of the
European Society of Cardiology.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31821482.pdf
011620-195656,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,159,1000,31821153,"How New Technologies Can Improve Prediction, Assessment, and Intervention in Obsessive-Compulsive Disorder (e-OCD): Review.","BACKGROUND: New technologies are set to profoundly change the way we understand
and manage psychiatric disorders, including obsessive-compulsive disorder (OCD). 
Developments in imaging and biomarkers, along with medical informatics, may well 
allow for better assessments and interventions in the future. Recent advances in 
the concept of digital phenotype, which involves using computerized measurement
tools to capture the characteristics of a given psychiatric disorder, is one
paradigmatic example.
OBJECTIVE: The impact of new technologies on health professionals' practice in
OCD care remains to be determined. Recent developments could disrupt not just
their clinical practices, but also their beliefs, ethics, and representations,
even going so far as to question their professional culture. This study aimed to 
conduct an extensive review of new technologies in OCD.
METHODS: We conducted the review by looking for titles in the PubMed database up 
to December 2017 that contained the following terms: [Obsessive] AND [Smartphone]
OR [phone] OR [Internet] OR [Device] OR [Wearable] OR [Mobile] OR [Machine
learning] OR [Artificial] OR [Biofeedback] OR [Neurofeedback] OR [Momentary] OR
[Computerized] OR [Heart rate variability] OR [actigraphy] OR [actimetry] OR
[digital] OR [virtual reality] OR [Tele] OR [video].
RESULTS: We analyzed 364 articles, of which 62 were included. Our review was
divided into 3 parts: prediction, assessment (including diagnosis, screening, and
monitoring), and intervention.
CONCLUSIONS: The review showed that the place of connected objects, machine
learning, and remote monitoring has yet to be defined in OCD. Smartphone
assessment apps and the Web Screening Questionnaire demonstrated good sensitivity
and adequate specificity for detecting OCD symptoms when compared with a
full-length structured clinical interview. The ecological momentary assessment
procedure may also represent a worthy addition to the current suite of assessment
tools. In the field of intervention, CBT supported by smartphone, internet, or
computer may not be more effective than that delivered by a qualified
practitioner, but it is easy to use, well accepted by patients, reproducible, and
cost-effective. Finally, new technologies are enabling the development of new
therapies, including biofeedback and virtual reality, which focus on the learning
of coping skills. For them to be used, these tools must be properly explained and
tailored to individual physician and patient profiles.

©Florian Ferreri, Alexis Bourla, Charles-Siegfried Peretti, Tomoyuki Segawa,
Nemat Jaafari, Stéphane Mouchabac. Originally published in JMIR Mental Health
(http://mental.jmir.org), 10.12.2019.",Error: No result found on sci-hub.tw for 31821153,Nan
011620-195657,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,160,1000,31820848,"Distribution of congenital anomalies by race/ethnicity and geospatial location in Oklahoma, 1997-2009.","INTRODUCTION: Congenital anomalies were the leading cause of infant mortality,
responsible for 23 and 21% of deaths in Oklahoma and the USA, respectively, in
2016. We aimed to determine the prevalence by race/ethnicity and spatial
distribution of congenital anomalies to identify geographic and racial/ethnic
disparities, particularly among American Indian/Alaska Natives (AI/AN).
METHODS: We evaluated the prevalence of anomalies by type and race/ethnicity
among 648,074 live births in Oklahoma from 1997 to 2009. Prevalence proportion
ratios (PPRs) and 95% confidence intervals (CIs) were calculated using Poisson
regression. We used Moran's I and Getis-Ord Gi* to evaluate spatial clustering
for neural tube defects, critical congenital heart defects (CCHDs), and oral
clefts among births whose residence geocoded to the ZIP code or finer level.
RESULTS: Overall prevalence of anomalies among live births was 3.9%. Non-Hispanic
(NH) African American (PPR: 0.87, 95% CI: 0.83, 0.91), Asian/Pacific Islander
(PPR: 0.70, 95% CI: 0.63, 0.78), and Hispanic (PPR: 0.87, 95% CI: 0.83, 0.91)
children had a lower prevalence of anomalies compared to NH whites. The
prevalence in NH AI/AN children was similar to NH whites (PPR: 1.01, 95% CI:
0.97, 1.05). However, differences in specific types of anomalies were observed by
race/ethnicity. We observed no spatial autocorrelation for CCHD and oral clefts. 
Neural tube defects demonstrated spatial autocorrelation (p < .0001). Local hot
spots varied by anomaly.
DISCUSSION: The prevalence of anomalies by race/ethnicity and geography differed 
by race/ethnicity and region, though this varied by anomaly. Additional research 
is needed to identify behavioral or environmental factors to target for
prevention.

© 2019 Wiley Periodicals, Inc.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31820848.pdf
011620-195657,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,161,1000,31820737,Long-lived metabolic enzymes in the crystalline lens identified by pulse-labeling of mice and mass spectrometry.,"The lenticular fiber cells are comprised of extremely long-lived proteins while
still maintaining an active biochemical state. Dysregulation of these activities 
has been implicated in diseases such as age-related cataracts. However, the
lenticular protein dynamics underlying health and disease is unclear. We sought
to measure the global protein turnover rates in the eye using nitrogen-15
labeling of mice and mass spectrometry. We measured the 14N/15N-peptide ratios of
248 lens proteins, including Crystallin, Aquaporin, Collagen and enzymes that
catalyze glycolysis and oxidation/reduction reactions. Direct comparison of lens 
cortex versus nucleus revealed little or no 15N-protein contents in most nuclear 
proteins, while there were a broad range of 14N/15N ratios in cortex proteins.
Unexpectedly, like Crystallins, many enzymes with relatively high abundance in
nucleus were also exceedingly long-lived. The slow replacement of these enzymes
in spite of young age of mice suggests their potential roles in age-related
metabolic changes in the lens.

© 2019, Liu et al.",Error: No result found on sci-hub.tw for 31820737,Nan
011620-195658,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,162,1000,31820589,Coronary artery plaque growth: A two-way coupled shear stress-driven model.,"Atherosclerosis in coronary arteries can lead to plaque growth, stenosis
formation, and blockage of the blood flow supplying the heart tissue. Several
studies have shown that hemodynamics play an important role in the growth of
coronary artery plaques. Specifically, low wall shear stress (WSS) appears to be 
the leading hemodynamic parameter promoting atherosclerotic plaque growth, which 
in turn influences the blood flow and WSS distribution. Therefore, a two-way
coupled interaction exists between WSS and atherosclerosis growth. In this work, 
a computational framework was developed to study the coupling between WSS and
plaque growth in coronary arteries. Computational fluid dynamics (CFD) was used
to quantify WSS distribution. Surface mesh nodes were moved in the inward normal 
direction according to a growth model based on WSS. After each growth stage, the 
geometry was updated and the CFD simulation repeated to find updated WSS values
for the next growth stage. One hundred twenty growth stages were simulated in an 
idealized tube and an image-based left anterior descending artery. An automated
framework was developed using open-source software to couple CFD simulations with
growth. Changes in plaque morphology and hemodynamic patterns during different
growth stages are presented. The results show larger plaque growth towards the
downstream segment of the plaque, agreeing with the reported clinical
observations. The developed framework could be used to establish
hemodynamic-driven growth models and study the interaction between these
processes.

© 2019 John Wiley & Sons, Ltd.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31820589.pdf
011620-195700,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,163,1000,31820120,Pulse Wave Velocity and Machine Learning to Predict Cardiovascular Outcomes in Prediabetic and Diabetic Populations.,"Few studies have addressed the predictive value of arterial stiffness determined 
by pulse wave velocity (PWV) in a high-risk population with no prevalent
cardiovascular disease and with obesity, hypertension, hyperglycemia, and
preserved kidney function. This longitudinal, retrospective study enrolled 88
high-risk patients and had a follow-up time of 12.4 years. We collected clinical 
and laboratory data, as well as information on arterial stiffness parameters
using arterial tonometry and measurements from ambulatory blood pressure
monitoring. We considered nonfatal, incident cardiovascular events as the primary
outcome. Given the small size of our dataset, we used survival analysis (i.e.,
Cox proportional hazards model) combined with a machine learning-based
algorithm/penalization method to evaluate the data. Our predictive model,
calculated with Cox regression and least absolute shrinkage and selection
operator (LASSO), included body mass index, diabetes mellitus, gender (male), and
PWV. We recorded 16 nonfatal cardiovascular events (5 myocardial infarctions, 5
episodes of heart failure, and 6 strokes). The adjusted hazard ratio for PWV was 
1.199 (95% confidence interval: 1.09-1.37, p < 0.001). Arterial stiffness was a
predictor of cardiovascular disease development, as determined by PWV in a
high-risk population. Thus, in obese, hypertensive, hyperglycemic patients with
preserved kidney function, PWV can serve as a prognostic factor for major adverse
cardiac events.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31820120.pdf
011620-195703,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,164,1000,31819058,Solution structure of human myeloid-derived growth factor suggests a conserved function in the endoplasmic reticulum.,"Human myeloid-derived growth factor (hMYDGF) is a 142-residue protein with a
C-terminal endoplasmic reticulum (ER) retention sequence (ERS). Extracellular
MYDGF mediates cardiac repair in mice after anoxic injury. Although homologs of
hMYDGF are found in eukaryotes as distant as protozoans, its structure and
function are unknown. Here we present the NMR solution structure of hMYDGF, which
consists of a short α-helix and ten β-strands distributed in three β-sheets.
Conserved residues map to the unstructured ERS, loops on the face opposite the
ERS, and the surface of a cavity underneath the conserved loops. The only protein
or portion of a protein known to have a similar fold is the base domain of VNN1. 
We suggest, in analogy to the tethering of the VNN1 nitrilase domain to the
plasma membrane via its base domain, that MYDGF complexed to the KDEL receptor
binds cargo via its conserved residues for transport to the ER.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31819058.pdf
011620-195703,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,165,1000,31818970,Transarterial and transvenous access for neurointerventional surgery: report of the SNIS Standards and Guidelines Committee.,"The purpose of this publication is to provide a comprehensive review on the
techniques and tools used for vascular access in neurointerventional procedures. 
Using published literature, we reviewed data on access methods, sites, tools, and
techniques for neurointerventions. Recommendations are provided based on quality 
of data/levels of evidence and, where appropriate, expert consensus. While tools 
and techniques continue to be developed, current literature and experience
supports certain principles regarding vascular access for neurointerventional
procedures.

© Author(s) (or their employer(s)) 2019. No commercial re-use. See rights and
permissions. Published by BMJ.",Error: No result found on sci-hub.tw for 31818970,Nan
011620-195704,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,166,1000,31818390,Augmented Radiologist Workflow Improves Report Value and Saves Time: A Potential Model for Implementation of Artificial Intelligence.,"RATIONALE AND OBJECTIVES: Our primary aim was to improve radiology reports by
increasing concordance of target lesion measurements with oncology records using 
radiology preprocessors (RP). Faster notification of incidental actionable
findings to referring clinicians and clinical radiologist exam interpretation
time savings with RPs quantifying tumor burden were also assessed.
MATERIALS AND METHODS: In this prospective quality improvement initiative, RPs
annotated lesions before radiologist interpretation of CT exams. Clinical
radiologists then hyperlinked approved measurements into interactive reports
during interpretations. RPs evaluated concordance with our tumor measurement
radiologist, the determinant of tumor burden. Actionable finding detection and
notification times were also deduced. Clinical radiologist interpretation times
were calculated from established average CT chest, abdomen, and pelvis
interpretation times.
RESULTS: RPs assessed 1287 body CT exams with 812 follow-up CT chest, abdomen,
and pelvis studies; 95 (11.7%) of which had 241 verified target lesions. There
was improved concordance (67.8% vs. 22.5%) of target lesion measurements. RPs
detected 93.1% incidental actionable findings with faster clinician notification 
by a median time of 1 hour (range: 15 minutes-16 hours). Radiologist exam
interpretation times decreased by 37%.
CONCLUSIONS: This workflow resulted in three-fold improved target lesion
measurement concordance with oncology records, earlier detection and faster
notification of incidental actionable findings to referring clinicians, and
decreased exam interpretation times for clinical radiologists. These findings
demonstrate potential roles for automation (such as AI) to improve report value, 
worklist prioritization, and patient care.

Published by Elsevier Inc.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31818390.pdf
011620-195706,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,167,1000,31818298,Representation learning in intraoperative vital signs for heart failure risk prediction.,"BACKGROUND: The probability of heart failure during the perioperative period is
2% on average and it is as high as 17% when accompanied by cardiovascular
diseases in China. It has been the most significant cause of postoperative death 
of patients. However, the patient is managed by the flow of information during
the operation, but a lot of clinical information can make it difficult for
medical staff to identify the information relevant to patient care. There are
major practical and technical barriers to understand perioperative complications.
METHODS: In this work, we present three machine learning methods to estimate
risks of heart failure, which extract intraoperative vital signs monitoring data 
into different modal representations (statistical learning representation, text
learning representation, image learning representation). Firstly, we extracted
features of vital signs monitoring data of surgical patients by statistical
analysis. Secondly, the vital signs data is converted into text information by
Piecewise Approximate Aggregation (PAA) and Symbolic Aggregate Approximation
(SAX), then Latent Dirichlet Allocation (LDA) model is used to extract text
topics of patients for heart failure prediction. Thirdly, the vital sign
monitoring time series data of the surgical patient is converted into a grid
image by using the grid representation, and then the convolutional neural network
is directly used to identify the grid image for heart failure prediction. We
evaluated the proposed methods in the monitoring data of real patients during the
perioperative period.
RESULTS: In this paper, the results of our experiment demonstrate the Gradient
Boosting Decision Tree (GBDT) classifier achieves the best results in the
prediction of heart failure by statistical feature representation. The
sensitivity, specificity and the area under the curve (AUC) of the best method
can reach 83, 85 and 84% respectively.
CONCLUSIONS: The experimental results demonstrate that representation learning
model of vital signs monitoring data of intraoperative patients can effectively
capture the physiological characteristics of postoperative heart failure.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31818298.pdf
011620-195708,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,168,1000,31817777,A Novel Synchronous MAC Protocol for Wireless Sensor Networks with Performance Analysis.,"Synchronous medium access control (MAC) protocols are highly essential for
wireless sensor networks (WSN) to support transmissions with energy saving,
quality services, and throughput in industrial, commercial and healthcare
applications. In this paper, a synchronous channel access mechanism is designed, 
where sensors can reserve the contention free data transmission slots in
different available channels. To reduce the delay of data transmission among the 
nodes in the mesh topology, a linear programming problem (LPP) model is designed 
to select suitable relay nodes. Moreover, the performance of the proposed MAC is 
analyzed and our models are validated with simulation and analytical results. The
results show that our proposed MAC protocol outperforms the IEEE 802.15.4e MAC
mechanism in terms of throughput, reliability, delay, energy, packet drop rate
and transmission success rate.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31817777.pdf
011620-195708,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,169,1000,31815404,Cheminformatics and Computational Approaches in Metabolomics,"Metabolomics can be viewed as an evolved form of chemical analysis, which
required an early instrumental revolution in which the technological core of
spectroscopy and spectrometry was developed. This was followed by the advent of
high-throughput and high-performance liquid chromatography, together with the
establishment of compound libraries and database systems. The ease in the use of 
metabolomics platforms was coupled with an implementation of data mining methods 
and bioinformatics tools using machine learning approaches. Cheminformatics makes
use of software packages and tools to convey workflows and to streamline data
analysis. On the other hand, computational biology offers the contextual approach
to the functional characterization of metabolite profiles from a dataset,
providing ontologies and annotations. In this chapter, we discuss the main
technical procedures used in metabolomics data acquisition, data processing and
pipelines, followed by data mining and statistical approaches including machine
learning, and ultimately how metabolomics data can aid in elucidating aberrant
pathways and metabolic dysfunctions in disease.

PMID: 31815404 

",Error: No result found on sci-hub.tw for 31815404,Nan
011620-195709,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,170,1000,31816148,Highly precise risk prediction model for new-onset hypertension using artificial intelligence techniques.,"Hypertension is a significant public health issue. The ability to predict the
risk of developing hypertension could contribute to disease prevention
strategies. This study used machine learning techniques to develop and validate a
new risk prediction model for new-onset hypertension. In Japan, Industrial Safety
and Health Law requires employers to provide annual health checkups to their
employees. We used 2005-2016 health checkup data from 18 258 individuals, at the 
time of hypertension diagnosis [Year (0)] and in the two previous annual visits
[Year (-1) and Year (-2)]. Data were entered into models based on machine
learning methods (XGBoost and ensemble) or traditional statistical methods
(logistic regression). Data were randomly split into a derivation set (75%,
n = 13 694) used for model construction and development, and a validation set
(25%, n = 4564) used to test performance of the derived models. The best
predictor in the XGBoost model was systolic blood pressure during cardio-ankle
vascular index measurement at Year (-1). Area under the receiver operator
characteristic curve values in the validation cohort were 0.877, 0.881, and 0.859
for the XGBoost, ensemble, and logistic regression models, respectively. We have 
developed a highly precise prediction model for future hypertension using machine
learning methods in a general normotensive population. This could be used to
identify at-risk individuals and facilitate earlier non-pharmacological
intervention to prevent the future development of hypertension.

© 2019 Wiley Periodicals, Inc.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31816148.pdf
011620-195712,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,171,1000,31813488,Methods for algorithmic diagnosis of metabolic syndrome.,"Metabolic Syndrome (MetS) is associated with the risk of developing chronic
disease (atherosclerotic cardiovascular disease, type 2 diabetes, cancers and
chronic kidney disease) and has an important role in early prevention. Previous
research showed that an artificial neural network (ANN) is a suitable tool for
algorithmic MetS diagnostics, that includes solely non-invasive, low-cost and
easily-obtainabled (NI&LC&EO) diagnostic methods. This paper considers using four
well-known machine learning methods (linear regression, artificial neural
network, decision tree and random forest) for MetS predictions and provides their
comparison, in order to induce and facilitate development of appropriate medical 
software by using these methods. Training, validation and testing are conducted
on the large dataset that includes 3000 persons. Input vectors are very simple
and contain the following parameters: gender, age, body mass index,
waist-to-height ratio, systolic and diastolic blood pressures, while the output
is MetS diagnosis in true/false form, made in accordance with International
Diabetes Federation (IDF). Comparison leads to the conclusion that random forest 
achieves the highest specificity (SPC=0.9436), sensitivity (SNS=0.9154), positive
(PPV=0.9379) and negative (NPV=0.9150) predictive values. Algorithmic diagnosis
of MetS could be beneficial in everyday clinical practice since it can easily
identify high risk patients.

Copyright © 2019 Elsevier B.V. All rights reserved.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31813488.pdf
011620-195713,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,172,1000,31812617,Heartbeat classification using deep residual convolutional neural network from 2-lead electrocardiogram.,"BACKGROUND: The electrocardiogram (ECG) has been widely used in the diagnosis of 
heart disease such as arrhythmia due to its simplicity and non-invasive nature.
Arrhythmia can be classified into many types, including life-threatening and
non-life-threatening. Accurate detection of arrhythmic types can effectively
prevent heart disease and reduce mortality.
METHODS: In this study, a novel deep learning method for classification of
cardiac arrhythmia according to deep residual network (ResNet) is presented. We
developed a 31-layer one-dimensional (1D) residual convolutional neural network. 
The algorithm includes four residual blocks, each of which consists of three 1D
convolution layers, three batch normalization (BP) layers, three rectified linear
unit (ReLU) layers, and an ""identity shortcut connections"" structure. In
addition, we propose to use 2-lead ECG signals in combination with deep learning 
methods to automatically identify five different types of heartbeats.
RESULTS: We have obtained an average accuracy, sensitivity and positive
predictivity of 99.06%, 93.21% and 96.76% respectively for single-lead ECG
heartbeats. In the 2-lead datasets, the results show that the deep ResNet model
has high classification performance, achieving an accuracy of 99.38%, sensitivity
of 94.54%, and specificity of 98.14%.
CONCLUSION: The proposed method can be used as an adjunct tool to assist
clinicians in their diagnosis.

Copyright © 2019 Elsevier Inc. All rights reserved.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31812617.pdf
011620-195715,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,173,1000,31812486,The NAD&lt;sup&gt;+&lt;/sup&gt;-mitophagy axis in healthy longevity and in artificial intelligence-based clinical applications.,"Nicotinamide adenine dinucleotide (NAD+) is an important natural molecule
involved in fundamental biological processes, including the TCA cycle, OXPHOS,
β-oxidation, and is a co-factor for proteins promoting healthy longevity. NAD+
depletion is associated with the hallmarks of ageing and may contribute to a wide
range of age-related diseases including metabolic disorders, cancer, and
neurodegenerative diseases. One of the central pathways by which NAD+ promotes
healthy ageing is through regulation of mitochondrial homeostasis via
mitochondrial biogenesis and the clearance of damaged mitochondria via mitophagy.
Here, we highlight the contribution of the NAD+-mitophagy axis to ageing and
age-related diseases, and evaluate how boosting NAD+ levels may emerge as a
promising therapeutic strategy to counter ageing as well as neurodegenerative
diseases including Alzheimer's disease. The potential use of artificial
intelligence to understand the roles and molecular mechanisms of the
NAD+-mitophagy axis in ageing is discussed, including possible applications in
drug target identification and validation, compound screening and lead compound
discovery, biomarker development, as well as efficacy and safety assessment.
Advances in our understanding of the molecular and cellular roles of NAD+ in
mitophagy will lead to novel approaches for facilitating healthy mitochondrial
homoeostasis that may serve as a promising therapeutic strategy to counter
ageing-associated pathologies and/or accelerated ageing.

Copyright © 2019 Elsevier B.V. All rights reserved.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31812486.pdf
